"scenario","method","lambda","mse_mean","true_fdr_mean","est_fdr_mean","fdp_mean"
"independent","ncv1",0.0406739921413883,1.1724800689183,0.713884361833786,0.557935660049087,0.713884361833786
"independent","ncv1",0.0372685174563073,1.17884712564056,0.738491252368648,0.593715065588816,0.738491252368648
"independent","ncv1",0.0341481698812089,1.18720458798222,0.759135588920256,0.630699035687354,0.759135588920256
"independent","ncv1",0.0312890768355088,1.19743057039555,0.776560478450856,0.662074452947026,0.776560478450856
"independent","ncv1",0.0286693644966638,1.20918462469794,0.793582049221759,0.692849583802411,0.793582049221759
"independent","ncv1",0.0262689904519582,1.22219645710352,0.805114264718643,0.714483083918206,0.805114264718643
"independent","ncv1",0.0240695903617038,1.23645482314939,0.817519606182135,0.739302457551045,0.817519606182135
"independent","ncv1",0.0220543374607316,1.25170827063853,0.826757426976961,0.758077251289517,0.826757426976961
"independent","ncv1",0.020207813823276,1.26781525310033,0.834436128527415,0.773777796005763,0.834436128527415
"independent","ncv1",0.0185158924063475,1.28451723008993,0.842610186755163,0.790301021571716,0.842610186755163
"independent","ncv1",0.0169656289691538,1.30189031849904,0.848427296696382,0.802159024930464,0.848427296696382
"independent","ncv1",0.0155451630416861,1.31980663432919,0.854260082006427,0.813989791307954,0.854260082006427
"independent","ncv1",0.0142436271848197,1.33798407133438,0.858990398901772,0.823537202668458,0.858990398901772
"independent","ncv1",0.0130510638477118,1.35629970562477,0.863787228236306,0.833332481643603,0.863787228236306
"independent","ncv1",0.0119583491864054,1.37478896844452,0.867551166542675,0.84094241840479,0.867551166542675
"independent","ncv1",0.0109571232608041,1.3929313991466,0.870714550979671,0.847414270641144,0.870714550979671
"independent","ncv1",0.0100397260759821,1.41131235310161,0.873498510726225,0.853042819718174,0.873498510726225
"independent","ncv1",0.00919913897850576,1.42928891684958,0.875949805676919,0.857990274201179,0.875949805676919
"independent","ncv1",0.00842893095941227,1.44685875677736,0.878371469820676,0.862877980039872,0.878371469820676
"independent","ncv1",0.00772320945303067,1.46410814976182,0.880335808349068,0.866791079927137,0.880335808349068
"independent","ncv1",0.00707657525522565,1.48085845728135,0.88223603368728,0.870623866100826,0.88223603368728
"independent","ncv1",0.00648408121616084,1.49700598956568,0.883766480348481,0.873680077567098,0.883766480348481
"independent","ncv1",0.00594119439155589,1.51239260535472,0.885402651020807,0.87699770470799,0.885402651020807
"independent","ncv1",0.00544376136287119,1.52710438798197,0.886620002321369,0.879499773840936,0.886620002321369
"independent","ncv1",0.00498797646109815,1.54121661457259,0.88762278544666,0.881538397466347,0.88762278544666
"independent","ncv1",0.00457035265104768,1.55444904466323,0.888621958102606,0.883605117391335,0.888621958102606
"independent","ncv1",0.00418769485338345,1.56707264610777,0.889574413294292,0.885592334332717,0.889574413294292
"independent","ncv1",0.00383707550029739,1.57899190721534,0.890553254286462,0.887617479897928,0.890553254286462
"independent","ncv1",0.00351581213781297,1.59051749627892,0.891374003797299,0.88925193993593,0.891374003797299
"independent","ncv1",0.00322144690336038,1.60150872300529,0.89215748236993,0.890858399671417,0.89215748236993
