"method","model_name","sigma2","n","rep","selected_model_id","selected_size","true_model_id","correct"
"ncv1","model2",1,640,34,14,4,14,1
"ncv2","model2",1,640,34,14,4,14,1
"ncv3","model2",1,640,34,14,4,14,1
"cv","model2",1,640,35,14,4,14,1
"cv_1se","model2",1,640,35,14,4,14,1
"cvc","model2",1,640,35,14,4,14,1
"ncv1","model2",1,640,35,14,4,14,1
"ncv2","model2",1,640,35,14,4,14,1
"ncv3","model2",1,640,35,14,4,14,1
"cv","model2",1,640,36,14,4,14,1
"cv_1se","model2",1,640,36,14,4,14,1
"cvc","model2",1,640,36,14,4,14,1
"ncv1","model2",1,640,36,14,4,14,1
"ncv2","model2",1,640,36,14,4,14,1
"ncv3","model2",1,640,36,14,4,14,1
"cv","model2",1,640,37,14,4,14,1
"cv_1se","model2",1,640,37,14,4,14,1
"cvc","model2",1,640,37,14,4,14,1
"ncv1","model2",1,640,37,14,4,14,1
"ncv2","model2",1,640,37,16,5,14,0
"ncv3","model2",1,640,37,14,4,14,1
"cv","model2",1,640,38,16,5,14,0
"cv_1se","model2",1,640,38,14,4,14,1
"cvc","model2",1,640,38,14,4,14,1
"ncv1","model2",1,640,38,14,4,14,1
"ncv2","model2",1,640,38,16,5,14,0
"ncv3","model2",1,640,38,14,4,14,1
"cv","model2",1,640,39,14,4,14,1
"cv_1se","model2",1,640,39,14,4,14,1
"cvc","model2",1,640,39,14,4,14,1
"ncv1","model2",1,640,39,14,4,14,1
"ncv2","model2",1,640,39,14,4,14,1
"ncv3","model2",1,640,39,14,4,14,1
"cv","model2",1,640,40,14,4,14,1
"cv_1se","model2",1,640,40,14,4,14,1
"cvc","model2",1,640,40,14,4,14,1
"ncv1","model2",1,640,40,14,4,14,1
"ncv2","model2",1,640,40,14,4,14,1
"ncv3","model2",1,640,40,14,4,14,1
"cv","model2",1,640,41,14,4,14,1
"cv_1se","model2",1,640,41,14,4,14,1
"cvc","model2",1,640,41,14,4,14,1
"ncv1","model2",1,640,41,14,4,14,1
"ncv2","model2",1,640,41,14,4,14,1
"ncv3","model2",1,640,41,14,4,14,1
"cv","model2",1,640,42,14,4,14,1
"cv_1se","model2",1,640,42,14,4,14,1
"cvc","model2",1,640,42,14,4,14,1
"ncv1","model2",1,640,42,14,4,14,1
"ncv2","model2",1,640,42,16,5,14,0
"ncv3","model2",1,640,42,14,4,14,1
"cv","model2",1,640,43,14,4,14,1
"cv_1se","model2",1,640,43,14,4,14,1
"cvc","model2",1,640,43,14,4,14,1
"ncv1","model2",1,640,43,14,4,14,1
"ncv2","model2",1,640,43,14,4,14,1
"ncv3","model2",1,640,43,14,4,14,1
"cv","model2",1,640,44,14,4,14,1
"cv_1se","model2",1,640,44,14,4,14,1
"cvc","model2",1,640,44,14,4,14,1
"ncv1","model2",1,640,44,14,4,14,1
"ncv2","model2",1,640,44,16,5,14,0
"ncv3","model2",1,640,44,14,4,14,1
"cv","model2",1,640,45,14,4,14,1
"cv_1se","model2",1,640,45,14,4,14,1
"cvc","model2",1,640,45,14,4,14,1
"ncv1","model2",1,640,45,14,4,14,1
"ncv2","model2",1,640,45,14,4,14,1
"ncv3","model2",1,640,45,14,4,14,1
"cv","model2",1,640,46,14,4,14,1
"cv_1se","model2",1,640,46,14,4,14,1
"cvc","model2",1,640,46,14,4,14,1
"ncv1","model2",1,640,46,14,4,14,1
"ncv2","model2",1,640,46,14,4,14,1
"ncv3","model2",1,640,46,14,4,14,1
"cv","model2",1,640,47,14,4,14,1
"cv_1se","model2",1,640,47,14,4,14,1
"cvc","model2",1,640,47,14,4,14,1
"ncv1","model2",1,640,47,14,4,14,1
"ncv2","model2",1,640,47,14,4,14,1
"ncv3","model2",1,640,47,14,4,14,1
"cv","model2",1,640,48,14,4,14,1
"cv_1se","model2",1,640,48,14,4,14,1
"cvc","model2",1,640,48,14,4,14,1
"ncv1","model2",1,640,48,14,4,14,1
"ncv2","model2",1,640,48,14,4,14,1
"ncv3","model2",1,640,48,14,4,14,1
"cv","model2",1,640,49,14,4,14,1
"cv_1se","model2",1,640,49,14,4,14,1
"cvc","model2",1,640,49,14,4,14,1
"ncv1","model2",1,640,49,14,4,14,1
"ncv2","model2",1,640,49,14,4,14,1
"ncv3","model2",1,640,49,14,4,14,1
"cv","model2",1,640,50,14,4,14,1
"cv_1se","model2",1,640,50,14,4,14,1
"cvc","model2",1,640,50,14,4,14,1
"ncv1","model2",1,640,50,14,4,14,1
"ncv2","model2",1,640,50,14,4,14,1
"ncv3","model2",1,640,50,14,4,14,1
"cv","model2",1,640,51,16,5,14,0
"cv_1se","model2",1,640,51,14,4,14,1
"cvc","model2",1,640,51,14,4,14,1
"ncv1","model2",1,640,51,14,4,14,1
"ncv2","model2",1,640,51,14,4,14,1
"ncv3","model2",1,640,51,14,4,14,1
"cv","model2",1,640,52,14,4,14,1
"cv_1se","model2",1,640,52,14,4,14,1
"cvc","model2",1,640,52,14,4,14,1
"ncv1","model2",1,640,52,14,4,14,1
"ncv2","model2",1,640,52,14,4,14,1
"ncv3","model2",1,640,52,14,4,14,1
"cv","model2",1,640,53,14,4,14,1
"cv_1se","model2",1,640,53,14,4,14,1
"cvc","model2",1,640,53,14,4,14,1
"ncv1","model2",1,640,53,14,4,14,1
"ncv2","model2",1,640,53,14,4,14,1
"ncv3","model2",1,640,53,14,4,14,1
"cv","model2",1,640,54,14,4,14,1
"cv_1se","model2",1,640,54,14,4,14,1
"cvc","model2",1,640,54,14,4,14,1
"ncv1","model2",1,640,54,14,4,14,1
"ncv2","model2",1,640,54,14,4,14,1
"ncv3","model2",1,640,54,14,4,14,1
"cv","model2",1,640,55,14,4,14,1
"cv_1se","model2",1,640,55,14,4,14,1
"cvc","model2",1,640,55,14,4,14,1
"ncv1","model2",1,640,55,14,4,14,1
"ncv2","model2",1,640,55,14,4,14,1
"ncv3","model2",1,640,55,14,4,14,1
"cv","model2",1,640,56,14,4,14,1
"cv_1se","model2",1,640,56,14,4,14,1
"cvc","model2",1,640,56,14,4,14,1
"ncv1","model2",1,640,56,14,4,14,1
"ncv2","model2",1,640,56,16,5,14,0
"ncv3","model2",1,640,56,14,4,14,1
"cv","model2",1,640,57,14,4,14,1
"cv_1se","model2",1,640,57,14,4,14,1
"cvc","model2",1,640,57,14,4,14,1
"ncv1","model2",1,640,57,14,4,14,1
"ncv2","model2",1,640,57,14,4,14,1
"ncv3","model2",1,640,57,14,4,14,1
"cv","model2",1,640,58,14,4,14,1
"cv_1se","model2",1,640,58,14,4,14,1
"cvc","model2",1,640,58,14,4,14,1
"ncv1","model2",1,640,58,14,4,14,1
"ncv2","model2",1,640,58,16,5,14,0
"ncv3","model2",1,640,58,14,4,14,1
"cv","model2",1,640,59,14,4,14,1
"cv_1se","model2",1,640,59,14,4,14,1
"cvc","model2",1,640,59,14,4,14,1
"ncv1","model2",1,640,59,14,4,14,1
"ncv2","model2",1,640,59,14,4,14,1
"ncv3","model2",1,640,59,14,4,14,1
"cv","model2",1,640,60,14,4,14,1
"cv_1se","model2",1,640,60,14,4,14,1
"cvc","model2",1,640,60,14,4,14,1
"ncv1","model2",1,640,60,14,4,14,1
"ncv2","model2",1,640,60,14,4,14,1
"ncv3","model2",1,640,60,14,4,14,1
"cv","model2",1,640,61,14,4,14,1
"cv_1se","model2",1,640,61,14,4,14,1
"cvc","model2",1,640,61,14,4,14,1
"ncv1","model2",1,640,61,14,4,14,1
"ncv2","model2",1,640,61,14,4,14,1
"ncv3","model2",1,640,61,14,4,14,1
"cv","model2",1,640,62,14,4,14,1
"cv_1se","model2",1,640,62,14,4,14,1
"cvc","model2",1,640,62,14,4,14,1
"ncv1","model2",1,640,62,14,4,14,1
"ncv2","model2",1,640,62,14,4,14,1
"ncv3","model2",1,640,62,14,4,14,1
"cv","model2",1,640,63,14,4,14,1
"cv_1se","model2",1,640,63,14,4,14,1
"cvc","model2",1,640,63,14,4,14,1
"ncv1","model2",1,640,63,14,4,14,1
"ncv2","model2",1,640,63,14,4,14,1
"ncv3","model2",1,640,63,14,4,14,1
"cv","model2",1,640,64,14,4,14,1
"cv_1se","model2",1,640,64,14,4,14,1
"cvc","model2",1,640,64,14,4,14,1
"ncv1","model2",1,640,64,14,4,14,1
"ncv2","model2",1,640,64,14,4,14,1
"ncv3","model2",1,640,64,14,4,14,1
"cv","model2",1,640,65,14,4,14,1
"cv_1se","model2",1,640,65,14,4,14,1
"cvc","model2",1,640,65,14,4,14,1
"ncv1","model2",1,640,65,14,4,14,1
"ncv2","model2",1,640,65,14,4,14,1
"ncv3","model2",1,640,65,14,4,14,1
"cv","model2",1,640,66,14,4,14,1
"cv_1se","model2",1,640,66,14,4,14,1
"cvc","model2",1,640,66,14,4,14,1
"ncv1","model2",1,640,66,14,4,14,1
"ncv2","model2",1,640,66,14,4,14,1
"ncv3","model2",1,640,66,14,4,14,1
"cv","model2",1,640,67,14,4,14,1
"cv_1se","model2",1,640,67,14,4,14,1
"cvc","model2",1,640,67,14,4,14,1
"ncv1","model2",1,640,67,14,4,14,1
"ncv2","model2",1,640,67,14,4,14,1
"ncv3","model2",1,640,67,14,4,14,1
"cv","model2",1,640,68,14,4,14,1
"cv_1se","model2",1,640,68,14,4,14,1
"cvc","model2",1,640,68,14,4,14,1
"ncv1","model2",1,640,68,14,4,14,1
"ncv2","model2",1,640,68,14,4,14,1
"ncv3","model2",1,640,68,14,4,14,1
"cv","model2",1,640,69,14,4,14,1
"cv_1se","model2",1,640,69,14,4,14,1
"cvc","model2",1,640,69,14,4,14,1
"ncv1","model2",1,640,69,14,4,14,1
"ncv2","model2",1,640,69,14,4,14,1
"ncv3","model2",1,640,69,14,4,14,1
"cv","model2",1,640,70,14,4,14,1
"cv_1se","model2",1,640,70,14,4,14,1
"cvc","model2",1,640,70,14,4,14,1
"ncv1","model2",1,640,70,14,4,14,1
"ncv2","model2",1,640,70,16,5,14,0
"ncv3","model2",1,640,70,14,4,14,1
"cv","model2",1,640,71,14,4,14,1
"cv_1se","model2",1,640,71,14,4,14,1
"cvc","model2",1,640,71,14,4,14,1
"ncv1","model2",1,640,71,14,4,14,1
"ncv2","model2",1,640,71,14,4,14,1
"ncv3","model2",1,640,71,14,4,14,1
"cv","model2",1,640,72,14,4,14,1
"cv_1se","model2",1,640,72,14,4,14,1
"cvc","model2",1,640,72,14,4,14,1
"ncv1","model2",1,640,72,14,4,14,1
"ncv2","model2",1,640,72,14,4,14,1
"ncv3","model2",1,640,72,14,4,14,1
"cv","model2",1,640,73,14,4,14,1
"cv_1se","model2",1,640,73,14,4,14,1
"cvc","model2",1,640,73,14,4,14,1
"ncv1","model2",1,640,73,14,4,14,1
"ncv2","model2",1,640,73,14,4,14,1
"ncv3","model2",1,640,73,14,4,14,1
"cv","model2",1,640,74,14,4,14,1
"cv_1se","model2",1,640,74,14,4,14,1
"cvc","model2",1,640,74,14,4,14,1
"ncv1","model2",1,640,74,14,4,14,1
"ncv2","model2",1,640,74,14,4,14,1
"ncv3","model2",1,640,74,14,4,14,1
"cv","model2",1,640,75,14,4,14,1
"cv_1se","model2",1,640,75,14,4,14,1
"cvc","model2",1,640,75,14,4,14,1
"ncv1","model2",1,640,75,14,4,14,1
"ncv2","model2",1,640,75,16,5,14,0
"ncv3","model2",1,640,75,14,4,14,1
"cv","model2",1,640,76,14,4,14,1
"cv_1se","model2",1,640,76,14,4,14,1
"cvc","model2",1,640,76,14,4,14,1
"ncv1","model2",1,640,76,14,4,14,1
"ncv2","model2",1,640,76,14,4,14,1
"ncv3","model2",1,640,76,14,4,14,1
"cv","model2",1,640,77,14,4,14,1
"cv_1se","model2",1,640,77,14,4,14,1
"cvc","model2",1,640,77,14,4,14,1
"ncv1","model2",1,640,77,14,4,14,1
"ncv2","model2",1,640,77,14,4,14,1
"ncv3","model2",1,640,77,14,4,14,1
"cv","model2",1,640,78,14,4,14,1
"cv_1se","model2",1,640,78,14,4,14,1
"cvc","model2",1,640,78,14,4,14,1
"ncv1","model2",1,640,78,14,4,14,1
"ncv2","model2",1,640,78,14,4,14,1
"ncv3","model2",1,640,78,14,4,14,1
"cv","model2",1,640,79,14,4,14,1
"cv_1se","model2",1,640,79,14,4,14,1
"cvc","model2",1,640,79,14,4,14,1
"ncv1","model2",1,640,79,14,4,14,1
"ncv2","model2",1,640,79,14,4,14,1
"ncv3","model2",1,640,79,14,4,14,1
"cv","model2",1,640,80,14,4,14,1
"cv_1se","model2",1,640,80,14,4,14,1
"cvc","model2",1,640,80,14,4,14,1
"ncv1","model2",1,640,80,14,4,14,1
"ncv2","model2",1,640,80,14,4,14,1
"ncv3","model2",1,640,80,14,4,14,1
"cv","model2",1,640,81,14,4,14,1
"cv_1se","model2",1,640,81,14,4,14,1
"cvc","model2",1,640,81,14,4,14,1
"ncv1","model2",1,640,81,14,4,14,1
"ncv2","model2",1,640,81,14,4,14,1
"ncv3","model2",1,640,81,14,4,14,1
"cv","model2",1,640,82,16,5,14,0
"cv_1se","model2",1,640,82,14,4,14,1
"cvc","model2",1,640,82,14,4,14,1
"ncv1","model2",1,640,82,14,4,14,1
"ncv2","model2",1,640,82,14,4,14,1
"ncv3","model2",1,640,82,14,4,14,1
"cv","model2",1,640,83,14,4,14,1
"cv_1se","model2",1,640,83,14,4,14,1
"cvc","model2",1,640,83,14,4,14,1
"ncv1","model2",1,640,83,14,4,14,1
"ncv2","model2",1,640,83,14,4,14,1
"ncv3","model2",1,640,83,14,4,14,1
"cv","model2",1,640,84,14,4,14,1
"cv_1se","model2",1,640,84,14,4,14,1
"cvc","model2",1,640,84,14,4,14,1
"ncv1","model2",1,640,84,14,4,14,1
"ncv2","model2",1,640,84,14,4,14,1
"ncv3","model2",1,640,84,14,4,14,1
"cv","model2",1,640,85,14,4,14,1
"cv_1se","model2",1,640,85,14,4,14,1
"cvc","model2",1,640,85,14,4,14,1
"ncv1","model2",1,640,85,14,4,14,1
"ncv2","model2",1,640,85,14,4,14,1
"ncv3","model2",1,640,85,14,4,14,1
"cv","model2",1,640,86,14,4,14,1
"cv_1se","model2",1,640,86,14,4,14,1
"cvc","model2",1,640,86,14,4,14,1
"ncv1","model2",1,640,86,14,4,14,1
"ncv2","model2",1,640,86,14,4,14,1
"ncv3","model2",1,640,86,14,4,14,1
"cv","model2",1,640,87,14,4,14,1
"cv_1se","model2",1,640,87,14,4,14,1
"cvc","model2",1,640,87,14,4,14,1
"ncv1","model2",1,640,87,14,4,14,1
"ncv2","model2",1,640,87,14,4,14,1
"ncv3","model2",1,640,87,14,4,14,1
"cv","model2",1,640,88,14,4,14,1
"cv_1se","model2",1,640,88,14,4,14,1
"cvc","model2",1,640,88,14,4,14,1
"ncv1","model2",1,640,88,14,4,14,1
"ncv2","model2",1,640,88,14,4,14,1
"ncv3","model2",1,640,88,14,4,14,1
"cv","model2",1,640,89,14,4,14,1
"cv_1se","model2",1,640,89,14,4,14,1
"cvc","model2",1,640,89,14,4,14,1
"ncv1","model2",1,640,89,14,4,14,1
"ncv2","model2",1,640,89,14,4,14,1
"ncv3","model2",1,640,89,14,4,14,1
"cv","model2",1,640,90,14,4,14,1
"cv_1se","model2",1,640,90,14,4,14,1
"cvc","model2",1,640,90,14,4,14,1
"ncv1","model2",1,640,90,14,4,14,1
"ncv2","model2",1,640,90,14,4,14,1
"ncv3","model2",1,640,90,14,4,14,1
"cv","model2",1,640,91,16,5,14,0
"cv_1se","model2",1,640,91,14,4,14,1
"cvc","model2",1,640,91,14,4,14,1
"ncv1","model2",1,640,91,14,4,14,1
"ncv2","model2",1,640,91,14,4,14,1
"ncv3","model2",1,640,91,14,4,14,1
"cv","model2",1,640,92,14,4,14,1
"cv_1se","model2",1,640,92,14,4,14,1
"cvc","model2",1,640,92,14,4,14,1
"ncv1","model2",1,640,92,14,4,14,1
"ncv2","model2",1,640,92,16,5,14,0
"ncv3","model2",1,640,92,14,4,14,1
"cv","model2",1,640,93,14,4,14,1
"cv_1se","model2",1,640,93,14,4,14,1
"cvc","model2",1,640,93,14,4,14,1
"ncv1","model2",1,640,93,14,4,14,1
"ncv2","model2",1,640,93,14,4,14,1
"ncv3","model2",1,640,93,14,4,14,1
"cv","model2",1,640,94,16,5,14,0
"cv_1se","model2",1,640,94,14,4,14,1
"cvc","model2",1,640,94,14,4,14,1
"ncv1","model2",1,640,94,14,4,14,1
"ncv2","model2",1,640,94,16,5,14,0
"ncv3","model2",1,640,94,14,4,14,1
"cv","model2",1,640,95,14,4,14,1
"cv_1se","model2",1,640,95,14,4,14,1
"cvc","model2",1,640,95,14,4,14,1
"ncv1","model2",1,640,95,14,4,14,1
"ncv2","model2",1,640,95,14,4,14,1
"ncv3","model2",1,640,95,14,4,14,1
"cv","model2",1,640,96,14,4,14,1
"cv_1se","model2",1,640,96,14,4,14,1
"cvc","model2",1,640,96,14,4,14,1
"ncv1","model2",1,640,96,14,4,14,1
"ncv2","model2",1,640,96,14,4,14,1
"ncv3","model2",1,640,96,14,4,14,1
"cv","model2",1,640,97,16,5,14,0
"cv_1se","model2",1,640,97,14,4,14,1
"cvc","model2",1,640,97,14,4,14,1
"ncv1","model2",1,640,97,14,4,14,1
"ncv2","model2",1,640,97,16,5,14,0
"ncv3","model2",1,640,97,14,4,14,1
"cv","model2",1,640,98,14,4,14,1
"cv_1se","model2",1,640,98,14,4,14,1
"cvc","model2",1,640,98,14,4,14,1
"ncv1","model2",1,640,98,14,4,14,1
"ncv2","model2",1,640,98,14,4,14,1
"ncv3","model2",1,640,98,14,4,14,1
"cv","model2",1,640,99,16,5,14,0
"cv_1se","model2",1,640,99,14,4,14,1
"cvc","model2",1,640,99,14,4,14,1
"ncv1","model2",1,640,99,14,4,14,1
"ncv2","model2",1,640,99,14,4,14,1
"ncv3","model2",1,640,99,14,4,14,1
"cv","model2",1,640,100,14,4,14,1
"cv_1se","model2",1,640,100,14,4,14,1
"cvc","model2",1,640,100,14,4,14,1
"ncv1","model2",1,640,100,14,4,14,1
"ncv2","model2",1,640,100,14,4,14,1
"ncv3","model2",1,640,100,14,4,14,1
"cv","model2",4,40,1,14,4,14,1
"cv_1se","model2",4,40,1,14,4,14,1
"cvc","model2",4,40,1,14,4,14,1
"ncv1","model2",4,40,1,14,4,14,1
"ncv2","model2",4,40,1,14,4,14,1
"ncv3","model2",4,40,1,14,4,14,1
"cv","model2",4,40,2,14,4,14,1
"cv_1se","model2",4,40,2,14,4,14,1
"cvc","model2",4,40,2,14,4,14,1
"ncv1","model2",4,40,2,14,4,14,1
"ncv2","model2",4,40,2,14,4,14,1
"ncv3","model2",4,40,2,14,4,14,1
"cv","model2",4,40,3,14,4,14,1
"cv_1se","model2",4,40,3,14,4,14,1
"cvc","model2",4,40,3,14,4,14,1
"ncv1","model2",4,40,3,14,4,14,1
"ncv2","model2",4,40,3,14,4,14,1
"ncv3","model2",4,40,3,14,4,14,1
"cv","model2",4,40,4,14,4,14,1
"cv_1se","model2",4,40,4,14,4,14,1
"cvc","model2",4,40,4,14,4,14,1
"ncv1","model2",4,40,4,14,4,14,1
"ncv2","model2",4,40,4,14,4,14,1
"ncv3","model2",4,40,4,14,4,14,1
"cv","model2",4,40,5,14,4,14,1
"cv_1se","model2",4,40,5,14,4,14,1
"cvc","model2",4,40,5,14,4,14,1
"ncv1","model2",4,40,5,14,4,14,1
"ncv2","model2",4,40,5,14,4,14,1
"ncv3","model2",4,40,5,14,4,14,1
"cv","model2",4,40,6,16,5,14,0
"cv_1se","model2",4,40,6,14,4,14,1
"cvc","model2",4,40,6,14,4,14,1
"ncv1","model2",4,40,6,14,4,14,1
"ncv2","model2",4,40,6,14,4,14,1
"ncv3","model2",4,40,6,14,4,14,1
"cv","model2",4,40,7,14,4,14,1
"cv_1se","model2",4,40,7,14,4,14,1
"cvc","model2",4,40,7,14,4,14,1
"ncv1","model2",4,40,7,14,4,14,1
"ncv2","model2",4,40,7,14,4,14,1
"ncv3","model2",4,40,7,14,4,14,1
"cv","model2",4,40,8,14,4,14,1
"cv_1se","model2",4,40,8,14,4,14,1
"cvc","model2",4,40,8,14,4,14,1
"ncv1","model2",4,40,8,14,4,14,1
"ncv2","model2",4,40,8,14,4,14,1
"ncv3","model2",4,40,8,14,4,14,1
"cv","model2",4,40,9,14,4,14,1
"cv_1se","model2",4,40,9,14,4,14,1
"cvc","model2",4,40,9,14,4,14,1
"ncv1","model2",4,40,9,14,4,14,1
"ncv2","model2",4,40,9,14,4,14,1
"ncv3","model2",4,40,9,14,4,14,1
"cv","model2",4,40,10,14,4,14,1
"cv_1se","model2",4,40,10,14,4,14,1
"cvc","model2",4,40,10,14,4,14,1
"ncv1","model2",4,40,10,14,4,14,1
"ncv2","model2",4,40,10,14,4,14,1
"ncv3","model2",4,40,10,14,4,14,1
"cv","model2",4,40,11,14,4,14,1
"cv_1se","model2",4,40,11,14,4,14,1
"cvc","model2",4,40,11,14,4,14,1
"ncv1","model2",4,40,11,14,4,14,1
"ncv2","model2",4,40,11,14,4,14,1
"ncv3","model2",4,40,11,14,4,14,1
"cv","model2",4,40,12,14,4,14,1
"cv_1se","model2",4,40,12,14,4,14,1
"cvc","model2",4,40,12,14,4,14,1
"ncv1","model2",4,40,12,14,4,14,1
"ncv2","model2",4,40,12,14,4,14,1
"ncv3","model2",4,40,12,14,4,14,1
"cv","model2",4,40,13,14,4,14,1
"cv_1se","model2",4,40,13,14,4,14,1
"cvc","model2",4,40,13,14,4,14,1
"ncv1","model2",4,40,13,14,4,14,1
"ncv2","model2",4,40,13,14,4,14,1
"ncv3","model2",4,40,13,14,4,14,1
"cv","model2",4,40,14,14,4,14,1
"cv_1se","model2",4,40,14,14,4,14,1
"cvc","model2",4,40,14,14,4,14,1
"ncv1","model2",4,40,14,14,4,14,1
"ncv2","model2",4,40,14,14,4,14,1
"ncv3","model2",4,40,14,14,4,14,1
"cv","model2",4,40,15,16,5,14,0
"cv_1se","model2",4,40,15,14,4,14,1
"cvc","model2",4,40,15,14,4,14,1
"ncv1","model2",4,40,15,14,4,14,1
"ncv2","model2",4,40,15,14,4,14,1
"ncv3","model2",4,40,15,14,4,14,1
"cv","model2",4,40,16,14,4,14,1
"cv_1se","model2",4,40,16,14,4,14,1
"cvc","model2",4,40,16,14,4,14,1
"ncv1","model2",4,40,16,14,4,14,1
"ncv2","model2",4,40,16,14,4,14,1
"ncv3","model2",4,40,16,14,4,14,1
"cv","model2",4,40,17,14,4,14,1
"cv_1se","model2",4,40,17,14,4,14,1
"cvc","model2",4,40,17,14,4,14,1
"ncv1","model2",4,40,17,14,4,14,1
"ncv2","model2",4,40,17,14,4,14,1
"ncv3","model2",4,40,17,14,4,14,1
"cv","model2",4,40,18,14,4,14,1
"cv_1se","model2",4,40,18,14,4,14,1
"cvc","model2",4,40,18,14,4,14,1
"ncv1","model2",4,40,18,14,4,14,1
"ncv2","model2",4,40,18,14,4,14,1
"ncv3","model2",4,40,18,14,4,14,1
"cv","model2",4,40,19,14,4,14,1
"cv_1se","model2",4,40,19,14,4,14,1
"cvc","model2",4,40,19,14,4,14,1
"ncv1","model2",4,40,19,14,4,14,1
"ncv2","model2",4,40,19,14,4,14,1
"ncv3","model2",4,40,19,14,4,14,1
"cv","model2",4,40,20,16,5,14,0
"cv_1se","model2",4,40,20,16,5,14,0
"cvc","model2",4,40,20,14,4,14,1
"ncv1","model2",4,40,20,14,4,14,1
"ncv2","model2",4,40,20,14,4,14,1
"ncv3","model2",4,40,20,14,4,14,1
"cv","model2",4,40,21,14,4,14,1
"cv_1se","model2",4,40,21,14,4,14,1
"cvc","model2",4,40,21,14,4,14,1
"ncv1","model2",4,40,21,14,4,14,1
"ncv2","model2",4,40,21,14,4,14,1
"ncv3","model2",4,40,21,14,4,14,1
"cv","model2",4,40,22,14,4,14,1
"cv_1se","model2",4,40,22,14,4,14,1
"cvc","model2",4,40,22,14,4,14,1
"ncv1","model2",4,40,22,14,4,14,1
"ncv2","model2",4,40,22,14,4,14,1
"ncv3","model2",4,40,22,14,4,14,1
"cv","model2",4,40,23,14,4,14,1
"cv_1se","model2",4,40,23,14,4,14,1
"cvc","model2",4,40,23,14,4,14,1
"ncv1","model2",4,40,23,14,4,14,1
"ncv2","model2",4,40,23,14,4,14,1
"ncv3","model2",4,40,23,14,4,14,1
"cv","model2",4,40,24,14,4,14,1
"cv_1se","model2",4,40,24,14,4,14,1
"cvc","model2",4,40,24,14,4,14,1
"ncv1","model2",4,40,24,14,4,14,1
"ncv2","model2",4,40,24,14,4,14,1
"ncv3","model2",4,40,24,14,4,14,1
"cv","model2",4,40,25,14,4,14,1
"cv_1se","model2",4,40,25,14,4,14,1
"cvc","model2",4,40,25,14,4,14,1
"ncv1","model2",4,40,25,14,4,14,1
"ncv2","model2",4,40,25,14,4,14,1
"ncv3","model2",4,40,25,14,4,14,1
"cv","model2",4,40,26,14,4,14,1
"cv_1se","model2",4,40,26,14,4,14,1
"cvc","model2",4,40,26,14,4,14,1
"ncv1","model2",4,40,26,14,4,14,1
"ncv2","model2",4,40,26,14,4,14,1
"ncv3","model2",4,40,26,14,4,14,1
"cv","model2",4,40,27,14,4,14,1
"cv_1se","model2",4,40,27,14,4,14,1
"cvc","model2",4,40,27,14,4,14,1
"ncv1","model2",4,40,27,14,4,14,1
"ncv2","model2",4,40,27,14,4,14,1
"ncv3","model2",4,40,27,14,4,14,1
"cv","model2",4,40,28,14,4,14,1
"cv_1se","model2",4,40,28,14,4,14,1
"cvc","model2",4,40,28,14,4,14,1
"ncv1","model2",4,40,28,14,4,14,1
"ncv2","model2",4,40,28,14,4,14,1
"ncv3","model2",4,40,28,14,4,14,1
"cv","model2",4,40,29,14,4,14,1
"cv_1se","model2",4,40,29,14,4,14,1
"cvc","model2",4,40,29,14,4,14,1
"ncv1","model2",4,40,29,14,4,14,1
"ncv2","model2",4,40,29,14,4,14,1
"ncv3","model2",4,40,29,14,4,14,1
"cv","model2",4,40,30,14,4,14,1
"cv_1se","model2",4,40,30,14,4,14,1
"cvc","model2",4,40,30,14,4,14,1
"ncv1","model2",4,40,30,14,4,14,1
"ncv2","model2",4,40,30,14,4,14,1
"ncv3","model2",4,40,30,14,4,14,1
"cv","model2",4,40,31,16,5,14,0
"cv_1se","model2",4,40,31,14,4,14,1
"cvc","model2",4,40,31,14,4,14,1
"ncv1","model2",4,40,31,14,4,14,1
"ncv2","model2",4,40,31,16,5,14,0
"ncv3","model2",4,40,31,14,4,14,1
"cv","model2",4,40,32,14,4,14,1
"cv_1se","model2",4,40,32,14,4,14,1
"cvc","model2",4,40,32,14,4,14,1
"ncv1","model2",4,40,32,14,4,14,1
"ncv2","model2",4,40,32,14,4,14,1
"ncv3","model2",4,40,32,14,4,14,1
"cv","model2",4,40,33,16,5,14,0
"cv_1se","model2",4,40,33,14,4,14,1
"cvc","model2",4,40,33,14,4,14,1
"ncv1","model2",4,40,33,16,5,14,0
"ncv2","model2",4,40,33,16,5,14,0
"ncv3","model2",4,40,33,16,5,14,0
"cv","model2",4,40,34,14,4,14,1
"cv_1se","model2",4,40,34,14,4,14,1
"cvc","model2",4,40,34,14,4,14,1
"ncv1","model2",4,40,34,14,4,14,1
"ncv2","model2",4,40,34,14,4,14,1
"ncv3","model2",4,40,34,14,4,14,1
"cv","model2",4,40,35,16,5,14,0
"cv_1se","model2",4,40,35,14,4,14,1
"cvc","model2",4,40,35,14,4,14,1
"ncv1","model2",4,40,35,14,4,14,1
"ncv2","model2",4,40,35,16,5,14,0
"ncv3","model2",4,40,35,14,4,14,1
"cv","model2",4,40,36,14,4,14,1
"cv_1se","model2",4,40,36,14,4,14,1
"cvc","model2",4,40,36,14,4,14,1
"ncv1","model2",4,40,36,14,4,14,1
"ncv2","model2",4,40,36,14,4,14,1
"ncv3","model2",4,40,36,14,4,14,1
