"scenario","lambda","cv_mse_mean","cv_mse_sd","true_fdr_mean","true_fdr_sd","est_fdr_mean","est_fdr_sd"
"independent",0.0262689904519582,1.22219645710352,0.0923022576148607,0.805114264718643,0.0145937148275589,0.714483083918206,0.0551040322345274
"independent",0.0240695903617038,1.23645482314939,0.0940949179199007,0.817519606182135,0.0114743863905878,0.739302457551045,0.051315522551269
"independent",0.0220543374607316,1.25170827063853,0.0961702061070619,0.826757426976961,0.010243582035951,0.758077251289517,0.0486462884692048
"independent",0.020207813823276,1.26781525310033,0.0982135890599213,0.834436128527415,0.00864375759054143,0.773777796005763,0.0450051319842876
"independent",0.0185158924063475,1.28451723008993,0.100249265225419,0.842610186755163,0.00814683843193355,0.790301021571716,0.0425088502287322
"independent",0.0169656289691538,1.30189031849904,0.102246222950339,0.848427296696382,0.00694861055701326,0.802159024930464,0.0402555707127755
"independent",0.0155451630416861,1.31980663432919,0.104255757592425,0.854260082006427,0.00654953742982907,0.813989791307954,0.0390639010777436
"independent",0.0142436271848197,1.33798407133438,0.106112321389329,0.858990398901772,0.00661771060085221,0.823537202668458,0.03879127842966
"independent",0.0130510638477118,1.35629970562477,0.107867295101239,0.863787228236306,0.0061467868572823,0.833332481643603,0.0371185263216843
"independent",0.0119583491864054,1.37478896844452,0.109695181969632,0.867551166542675,0.00573554247230604,0.84094241840479,0.0365117440776989
"independent",0.0109571232608041,1.3929313991466,0.111408110197427,0.870714550979671,0.00558413998703213,0.847414270641144,0.0354253670713065
"independent",0.0100397260759821,1.41131235310161,0.113229729619032,0.873498510726225,0.00515395380780486,0.853042819718174,0.0349002392792639
"independent",0.00919913897850576,1.42928891684958,0.115020197053797,0.875949805676919,0.00475543171149378,0.857990274201179,0.0344132862818247
"independent",0.00842893095941227,1.44685875677736,0.116734792952915,0.878371469820676,0.00432393309152377,0.862877980039872,0.0339147665365022
"independent",0.00772320945303067,1.46410814976182,0.118429532682563,0.880335808349068,0.00403482540678305,0.866791079927137,0.0338894845659716
"independent",0.00707657525522565,1.48085845728135,0.119972529154322,0.88223603368728,0.00375321860079594,0.870623866100826,0.0335728493703524
"independent",0.00648408121616084,1.49700598956568,0.121485042766998,0.883766480348481,0.00350285545072213,0.873680077567098,0.0335075509035347
"independent",0.00594119439155589,1.51239260535472,0.122948108042433,0.885402651020807,0.00348613222467406,0.87699770470799,0.0332442152608327
"independent",0.00544376136287119,1.52710438798197,0.124258673320334,0.886620002321369,0.00326926336795599,0.879499773840936,0.0327205525917645
"independent",0.00498797646109815,1.54121661457259,0.125592055863227,0.88762278544666,0.00305447047161812,0.881538397466347,0.0324689821302328
"independent",0.00457035265104768,1.55444904466323,0.126594281354295,0.888621958102606,0.00304958769476978,0.883605117391335,0.0320152759097392
"independent",0.00418769485338345,1.56707264610777,0.127723819658922,0.889574413294292,0.00291512228610298,0.885592334332717,0.0313618661869113
"independent",0.00383707550029739,1.57899190721534,0.128766624408372,0.890553254286462,0.00263423725865163,0.887617479897928,0.0307889198507909
