"method","alpha","model_name","sigma2","n","rep","selected_model_id","selected_size","true_model_id","correct","acv_size","tie_size_min"
"fy",0.05,"model1",1,40,35,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,40,35,5,2,5,1,5,1
"cvc_frac",0.05,"model1",1,40,35,NA,2,5,1,5,1
"cv",NA,"model1",1,40,36,5,2,5,1,NA,NA
"bic",NA,"model1",1,40,36,5,2,5,1,NA,NA
"fy",0.05,"model1",1,40,36,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,40,36,5,2,5,1,8,1
"cvc_frac",0.05,"model1",1,40,36,NA,2,5,1,8,1
"cv",NA,"model1",1,40,37,5,2,5,1,NA,NA
"bic",NA,"model1",1,40,37,5,2,5,1,NA,NA
"fy",0.05,"model1",1,40,37,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,40,37,5,2,5,1,8,1
"cvc_frac",0.05,"model1",1,40,37,NA,2,5,1,8,1
"cv",NA,"model1",1,40,38,6,3,5,0,NA,NA
"bic",NA,"model1",1,40,38,5,2,5,1,NA,NA
"fy",0.05,"model1",1,40,38,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,40,38,5,2,5,1,8,1
"cvc_frac",0.05,"model1",1,40,38,NA,2,5,1,8,1
"cv",NA,"model1",1,40,39,5,2,5,1,NA,NA
"bic",NA,"model1",1,40,39,5,2,5,1,NA,NA
"fy",0.05,"model1",1,40,39,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,40,39,5,2,5,1,3,1
"cvc_frac",0.05,"model1",1,40,39,NA,2,5,1,3,1
"cv",NA,"model1",1,40,40,6,3,5,0,NA,NA
"bic",NA,"model1",1,40,40,5,2,5,1,NA,NA
"fy",0.05,"model1",1,40,40,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,40,40,5,2,5,1,7,1
"cvc_frac",0.05,"model1",1,40,40,NA,2,5,1,7,1
"cv",NA,"model1",1,40,41,7,3,5,0,NA,NA
"bic",NA,"model1",1,40,41,7,3,5,0,NA,NA
"fy",0.05,"model1",1,40,41,5,2,5,1,7,NA
"cvc_pmax",0.05,"model1",1,40,41,5,2,5,1,4,1
"cvc_frac",0.05,"model1",1,40,41,NA,2,5,1,4,1
"cv",NA,"model1",1,40,42,5,2,5,1,NA,NA
"bic",NA,"model1",1,40,42,5,2,5,1,NA,NA
"fy",0.05,"model1",1,40,42,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,40,42,5,2,5,1,8,1
"cvc_frac",0.05,"model1",1,40,42,NA,2,5,1,8,1
"cv",NA,"model1",1,40,43,5,2,5,1,NA,NA
"bic",NA,"model1",1,40,43,5,2,5,1,NA,NA
"fy",0.05,"model1",1,40,43,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,40,43,5,2,5,1,8,1
"cvc_frac",0.05,"model1",1,40,43,NA,2,5,1,8,1
"cv",NA,"model1",1,40,44,5,2,5,1,NA,NA
"bic",NA,"model1",1,40,44,5,2,5,1,NA,NA
"fy",0.05,"model1",1,40,44,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,40,44,5,2,5,1,5,1
"cvc_frac",0.05,"model1",1,40,44,NA,2,5,1,5,1
"cv",NA,"model1",1,40,45,5,2,5,1,NA,NA
"bic",NA,"model1",1,40,45,5,2,5,1,NA,NA
"fy",0.05,"model1",1,40,45,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,40,45,5,2,5,1,7,1
"cvc_frac",0.05,"model1",1,40,45,NA,2,5,1,7,1
"cv",NA,"model1",1,40,46,5,2,5,1,NA,NA
"bic",NA,"model1",1,40,46,5,2,5,1,NA,NA
"fy",0.05,"model1",1,40,46,5,2,5,1,8,NA
