"scenario","lambda","cv_mse_mean","cv_mse_sd","true_fdr_mean","true_fdr_sd","est_fdr_mean","est_fdr_sd"
"independent",0.00648408121616084,1.4712019585001,0.121618836682036,0.883873283804532,0.00319508781156167,0.86943979530455,0.0331357829578754
"independent",0.00594119439155589,1.4861909511189,0.123208220194019,0.885477002421485,0.0031155226871996,0.87277672432444,0.0326897964694886
"independent",0.00544376136287119,1.50051369190757,0.124747958251914,0.886683244117227,0.00295419443089785,0.875319597259074,0.0320486769925945
"independent",0.00498797646109815,1.51416425484029,0.126113395935996,0.887908460727856,0.0028506021991686,0.877851111067639,0.0318378236310582
"independent",0.00457035265104768,1.52714246818194,0.127477430078834,0.888931703919781,0.002702371473841,0.879956598773676,0.0316667826936564
"independent",0.00418769485338345,1.5395211738498,0.128716509754285,0.890003301312591,0.0026120434566544,0.882194122219829,0.0312501780471031
"independent",0.00383707550029739,1.55120556881877,0.129905723649292,0.890871288763378,0.0023642122246306,0.883986217623434,0.0310189355707439
"independent",0.00351581213781297,1.56250217531604,0.131071874027603,0.891704169629919,0.00227632348088281,0.885684898389107,0.0310303162220061
"independent",0.00322144690336038,1.57319814364549,0.132146182974792,0.89245216210366,0.00218937720201407,0.887235889866643,0.0308098885473594
"independent",0.00295172772161419,1.5834410707223,0.133154945647877,0.893076599596814,0.00215688773605137,0.888557544169812,0.030457104079295
"independent",0.00270459107473018,1.59316011259773,0.13413194927988,0.893674869119408,0.00203255658412083,0.889799163218989,0.0302688955823588
"independent",0.00247814621516309,1.60234205884562,0.13505847778569,0.894205949127844,0.00195349407671665,0.8909141802935,0.0300484096949528
"independent",0.00227066070028343,1.61100571497657,0.135933294812806,0.894713781969315,0.00183219832458781,0.891971136123808,0.029913754066811
"independent",0.00208054713812451,1.61914750002557,0.136759262570206,0.895178849515072,0.00168909723885885,0.892938883818267,0.0297666570178508
"independent",0.00190635104285627,1.62677346165827,0.13753195798504,0.895621430867732,0.00160631862537694,0.893856734897765,0.0296480627494385
"independent",0.00174673970707301,1.63390262138212,0.138253023348359,0.896010912866908,0.00154882933299163,0.894649393936103,0.0296717710230684
"independent",0.00160049200576095,1.64055452695861,0.138922652914519,0.896365133170187,0.00149717999533618,0.895379632241288,0.0296095708692365
"correlated",1.60049200576095,10.1015427838938,0.556783388271861,0,0,0,0
"correlated",1.46648905393987,8.69679681855945,0.477757654425179,0,0,0,0
"correlated",1.34370564650397,7.49785304095941,0.410647814465765,0,0,0,0
"correlated",1.23120241477144,6.47732035156276,0.351657934365086,0,0,0,0
"correlated",1.12811863973555,5.61302730088208,0.299160561037605,0,0,0,0
"correlated",1.03366566703415,4.88343503948775,0.253637366364544,0,0,0,0
"correlated",0.947120873258172,4.26914896404222,0.215037356193116,0,0,0,0
"correlated",0.867822137437488,3.75258298615631,0.182545141647401,0,0,0,0
"correlated",0.795162775407741,3.31837555295176,0.155407127540234,0,0,0,0
"correlated",0.728586898302864,2.95370473478132,0.133258277353907,0,0,0,0
"correlated",0.66758515966292,2.64768179600368,0.115407653714892,0,0,0,0
"correlated",0.611690858620008,2.39081378066001,0.101251570346673,0,0,0,0
"correlated",0.560476369349204,2.17521448379595,0.0902352887964074,0,0,0,0
"correlated",0.513549869467659,1.99414000434302,0.0817652356540552,0.000238095238095238,0.00336717514850737,0,0
"correlated",0.470552342352066,1.84203108938712,0.0754382308117753,0.000238095238095238,0.00336717514850737,0,0
"correlated",0.431154830440396,1.71426105707437,0.0708440235310664,0.000238095238095238,0.00336717514850737,0,0
"correlated",0.395055918503962,1.60685395826169,0.0675016105603492,0.000476190476190476,0.00474992510830532,0.000264550264550265,0.00374130572056374
"correlated",0.3619794276353,1.51659984296171,0.0651870995022002,0.000476190476190476,0.00474992510830532,0.000264550264550265,0.00374130572056374
"correlated",0.33167230230944,1.44076659142857,0.0636503514302265,0.000714285714285714,0.00580273729901251,0.000264550264550265,0.00374130572056374
"correlated",0.303902674353299,1.37709114805456,0.0626389550074982,0.000714285714285714,0.00580273729901251,0.000264550264550265,0.00374130572056374
"correlated",0.278458089011369,1.32362832389683,0.0620176016191579,0.000952380952380952,0.00668339609489447,0.000529100529100529,0.00527769456478369
"correlated",0.25514387953599,1.27874134649885,0.0616520206277119,0.00212121212121212,0.0108060960160006,0.00157527657527658,0.00898122815171478
"correlated",0.233781677866854,1.24104999694242,0.0614436056015105,0.00283549783549784,0.0121407553547814,0.00236892736892737,0.0109416419863706
"correlated",0.214208050005496,1.20940456847519,0.0613534130368652,0.00331168831168831,0.0129323503188076,0.0028980278980279,0.0120438445205944
"correlated",0.196273245644555,1.18283638179077,0.0613533033202544,0.0045021645021645,0.0146584769930629,0.00369167869167869,0.0134907785181777
"correlated",0.179840052485699,1.16052149650002,0.0613597697868663,0.00616883116883117,0.0166361198002267,0.00527898027898028,0.0158775518424286
"correlated",0.164782746481047,1.14178117339284,0.0613995383654727,0.00902597402597403,0.0192319189309592,0.00686628186628187,0.0178080831495345
"correlated",0.150986129966773,1.12607883751203,0.0614655240428133,0.0120562770562771,0.0225834863048254,0.00867003367003367,0.0202008368014357
"correlated",0.138344650330035,1.11294214200888,0.0614860044292135,0.0169264069264069,0.0268307378302922,0.0114838864838865,0.0239318250263418
"correlated",0.126761592466485,1.10201622841259,0.0615029793011613,0.0262017692452475,0.0345892592924232,0.0182842921973357,0.0306623535663736
