"scenario","rep","method","idx","lambda","cv_mse","true_fdr","est_fdr"
"independent",66,"cv_1se",39,0.0577052775937964,1.19944049011241,0.574468085106383,0.307328605200946
"independent",66,"cvc_max_lambda",40,0.0528738398200432,1.19241780047001,0.622641509433962,0.356394129979036
"independent",67,"cv_min",41,0.048446919482736,1.16574860769861,0.655172413793103,0.478927203065134
"independent",67,"cv_1se",34,0.089348846947856,1.23369810568458,0.2,0
"independent",67,"cvc_max_lambda",39,0.0577052775937964,1.16882761824763,0.583333333333333,0.347222222222222
"independent",68,"cv_min",43,0.0406739921413883,1.11108171659993,0.692307692307692,0.478632478632479
"independent",68,"cv_1se",35,0.0818680165596217,1.17937326632175,0.354838709677419,0.10752688172043
"independent",68,"cvc_max_lambda",39,0.0577052775937964,1.12241616438936,0.545454545454545,0.252525252525253
"independent",69,"cv_min",39,0.0577052775937964,1.18110213206041,0.523809523809524,0.264550264550265
"independent",69,"cv_1se",34,0.089348846947856,1.22859563555545,0.166666666666667,0.0462962962962963
"independent",69,"cvc_max_lambda",39,0.0577052775937964,1.18110213206041,0.523809523809524,0.264550264550265
"independent",70,"cv_min",42,0.04439064791502,1.16489111520837,0.692307692307692,0.478632478632479
"independent",70,"cv_1se",35,0.0818680165596217,1.22749267746608,0.333333333333333,0.148148148148148
"independent",70,"cvc_max_lambda",41,0.048446919482736,1.16512852497987,0.661016949152542,0.414312617702448
"independent",71,"cv_min",42,0.04439064791502,1.07106739458332,0.636363636363636,0.444444444444444
"independent",71,"cv_1se",37,0.0687329369489366,1.10896956318012,0.333333333333333,0.148148148148148
"independent",71,"cvc_max_lambda",40,0.0528738398200432,1.07667266067051,0.565217391304348,0.338164251207729
"independent",72,"cv_min",40,0.0528738398200432,1.10336888972207,0.545454545454545,0.429292929292929
"independent",72,"cv_1se",35,0.0818680165596217,1.14550367128545,0.0909090909090909,0
"independent",72,"cvc_max_lambda",38,0.0629781962783572,1.10693942448994,0.428571428571429,0.349206349206349
"independent",73,"cv_min",45,0.0341481698812089,1.0996946694679,0.78021978021978,0.549450549450549
"independent",73,"cv_1se",37,0.0687329369489366,1.13653614872623,0.534883720930233,0.258397932816537
"independent",73,"cvc_max_lambda",39,0.0577052775937964,1.11628712503201,0.642857142857143,0.396825396825397
"independent",74,"cv_min",41,0.048446919482736,1.229051778538,0.655172413793103,0.363984674329502
"independent",74,"cv_1se",32,0.106423691554815,1.37676442147616,0.130434782608696,0.0483091787439614
"independent",74,"cvc_max_lambda",38,0.0629781962783572,1.24314868997172,0.555555555555556,0.246913580246914
"independent",75,"cv_min",42,0.04439064791502,1.06014721855065,0.701492537313433,0.464344941956882
"independent",75,"cv_1se",37,0.0687329369489366,1.09355985224098,0.393939393939394,0.134680134680135
"independent",75,"cvc_max_lambda",40,0.0528738398200432,1.06708907115973,0.615384615384615,0.363247863247863
"independent",76,"cv_min",39,0.0577052775937964,1.18201561696662,0.51219512195122,0.29810298102981
"independent",76,"cv_1se",35,0.0818680165596217,1.22352737668414,0.230769230769231,0.0854700854700855
"independent",76,"cvc_max_lambda",39,0.0577052775937964,1.18201561696662,0.51219512195122,0.29810298102981
"independent",77,"cv_min",39,0.0577052775937964,1.33802842043781,0.565217391304348,0.483091787439614
"independent",77,"cv_1se",34,0.089348846947856,1.39129661189375,0.130434782608696,0.0483091787439614
"independent",77,"cvc_max_lambda",36,0.0750135269156635,1.35631257686729,0.375,0.277777777777778
"independent",78,"cv_min",40,0.0528738398200432,1.21500473091759,0.666666666666667,0.462962962962963
"independent",78,"cv_1se",38,0.0629781962783572,1.22769777239344,0.607843137254902,0.435729847494553
"independent",78,"cvc_max_lambda",39,0.0577052775937964,1.2191450598206,0.661016949152542,0.451977401129944
"independent",79,"cv_min",43,0.0406739921413883,1.17619896526881,0.75,0.611111111111111
"independent",79,"cv_1se",35,0.0818680165596217,1.27165052061319,0.354838709677419,0.17921146953405
"independent",79,"cvc_max_lambda",40,0.0528738398200432,1.18902243504445,0.649122807017544,0.467836257309941
"independent",80,"cv_min",41,0.048446919482736,1.29638459241197,0.682539682539683,0.529100529100529
"independent",80,"cv_1se",36,0.0750135269156635,1.34744165518571,0.5,0.277777777777778
"independent",80,"cvc_max_lambda",38,0.0629781962783572,1.3186971105258,0.6,0.377777777777778
"correlated",1,"cv_min",35,0.0818680165596217,1.11419203325531,0.285714285714286,0.198412698412698
"correlated",1,"cv_1se",28,0.150986129966773,1.15448262502617,0.0476190476190476,0.0529100529100529
"correlated",1,"cvc_max_lambda",30,0.126761592466485,1.13294880286939,0.0476190476190476,0.0529100529100529
"correlated",2,"cv_min",38,0.0629781962783572,1.08093372180741,0.354838709677419,0.21505376344086
"correlated",2,"cv_1se",29,0.138344650330035,1.13234988355646,0,0
"correlated",2,"cvc_max_lambda",33,0.0975132510398305,1.09603356055639,0.0909090909090909,0.101010101010101
"correlated",3,"cv_min",40,0.0528738398200432,0.917172172533698,0.444444444444444,0.37037037037037
