"method","alpha","model_name","sigma2","n","rep","selected_model_id","selected_size","true_model_id","correct","acv_size","tie_size_min"
"bic",NA,"model2",4,40,4,14,4,14,1,NA,NA
"fy",0.05,"model2",4,40,4,14,4,14,1,2,NA
"cvc_pmax",0.05,"model2",4,40,4,14,4,14,1,1,1
"cvc_frac",0.05,"model2",4,40,4,NA,4,14,1,1,1
"cv",NA,"model2",4,40,5,16,5,14,0,NA,NA
"bic",NA,"model2",4,40,5,14,4,14,1,NA,NA
"fy",0.05,"model2",4,40,5,14,4,14,1,2,NA
"cvc_pmax",0.05,"model2",4,40,5,14,4,14,1,2,1
"cvc_frac",0.05,"model2",4,40,5,NA,4,14,1,2,1
"cv",NA,"model2",4,40,6,14,4,14,1,NA,NA
"bic",NA,"model2",4,40,6,14,4,14,1,NA,NA
"fy",0.05,"model2",4,40,6,14,4,14,1,2,NA
"cvc_pmax",0.05,"model2",4,40,6,14,4,14,1,2,1
"cvc_frac",0.05,"model2",4,40,6,NA,4,14,1,2,1
"cv",NA,"model2",4,40,7,14,4,14,1,NA,NA
"bic",NA,"model2",4,40,7,14,4,14,1,NA,NA
"fy",0.05,"model2",4,40,7,14,4,14,1,2,NA
"cvc_pmax",0.05,"model2",4,40,7,14,4,14,1,2,1
"cvc_frac",0.05,"model2",4,40,7,NA,4,14,1,2,1
"cv",NA,"model2",4,40,8,14,4,14,1,NA,NA
"bic",NA,"model2",4,40,8,14,4,14,1,NA,NA
"fy",0.05,"model2",4,40,8,14,4,14,1,2,NA
"cvc_pmax",0.05,"model2",4,40,8,14,4,14,1,1,1
"cvc_frac",0.05,"model2",4,40,8,NA,4,14,1,1,1
"cv",NA,"model2",4,40,9,14,4,14,1,NA,NA
"bic",NA,"model2",4,40,9,14,4,14,1,NA,NA
"fy",0.05,"model2",4,40,9,14,4,14,1,2,NA
"cvc_pmax",0.05,"model2",4,40,9,14,4,14,1,2,1
"cvc_frac",0.05,"model2",4,40,9,NA,4,14,1,2,1
"cv",NA,"model2",4,40,10,16,5,14,0,NA,NA
"bic",NA,"model2",4,40,10,14,4,14,1,NA,NA
"fy",0.05,"model2",4,40,10,14,4,14,1,2,NA
"cvc_pmax",0.05,"model2",4,40,10,14,4,14,1,2,1
"cvc_frac",0.05,"model2",4,40,10,NA,4,14,1,2,1
"cv",NA,"model2",4,80,1,14,4,14,1,NA,NA
"bic",NA,"model2",4,80,1,14,4,14,1,NA,NA
"fy",0.05,"model2",4,80,1,14,4,14,1,2,NA
"cvc_pmax",0.05,"model2",4,80,1,14,4,14,1,2,1
"cvc_frac",0.05,"model2",4,80,1,NA,4,14,1,2,1
"cv",NA,"model2",4,80,2,14,4,14,1,NA,NA
"bic",NA,"model2",4,80,2,14,4,14,1,NA,NA
"fy",0.05,"model2",4,80,2,14,4,14,1,2,NA
"cvc_pmax",0.05,"model2",4,80,2,14,4,14,1,2,1
"cvc_frac",0.05,"model2",4,80,2,NA,4,14,1,2,1
"cv",NA,"model2",4,80,3,16,5,14,0,NA,NA
"bic",NA,"model2",4,80,3,14,4,14,1,NA,NA
"fy",0.05,"model2",4,80,3,14,4,14,1,2,NA
"cvc_pmax",0.05,"model2",4,80,3,14,4,14,1,2,1
