"scenario","method","lambda","mse_mean","true_fdr_mean","est_fdr_mean","fdp_mean"
"independent","cvc",0.0262689904519582,1.20683859998786,0.805759373238561,0.708629004139475,0.805759373238561
"independent","cvc",0.0240695903617038,1.22025518794628,0.816816339684416,0.73127233844725,0.816816339684416
"independent","cvc",0.0220543374607316,1.23478120295134,0.826113587841572,0.749975732408847,0.826113587841572
"independent","cvc",0.020207813823276,1.25020436177368,0.834314627971683,0.766876278903648,0.834314627971683
"independent","cvc",0.0185158924063475,1.26634757558946,0.841725760077561,0.782087975302161,0.841725760077561
"independent","cvc",0.0169656289691538,1.28312575627302,0.847672385614953,0.794434368930761,0.847672385614953
"independent","cvc",0.0155451630416861,1.30032318918559,0.853404553277874,0.806242365267031,0.853404553277874
"independent","cvc",0.0142436271848197,1.31781570867526,0.858275672206249,0.816339042532701,0.858275672206249
"independent","cvc",0.0130510638477118,1.3354414771896,0.862700374062557,0.825539040680079,0.862700374062557
"independent","cvc",0.0119583491864054,1.35327061415606,0.866552414148223,0.833522540841714,0.866552414148223
"independent","cvc",0.0109571232608041,1.37094121823866,0.869911671491163,0.840534631090751,0.869911671491163
"independent","cvc",0.0100397260759821,1.3885354157735,0.873014934891747,0.846997467059577,0.873014934891747
"independent","cvc",0.00919913897850576,1.40584611375974,0.875720939023462,0.852658060234993,0.875720939023462
"independent","cvc",0.00842893095941227,1.42288589207324,0.878164509790556,0.857694180017798,0.878164509790556
"independent","cvc",0.00772320945303067,1.43944403775643,0.880261596040726,0.862000975687061,0.880261596040726
"independent","cvc",0.00707657525522565,1.45563547979421,0.882250245702301,0.866104733816669,0.882250245702301
"independent","cvc",0.00648408121616084,1.4712019585001,0.883873283804532,0.86943979530455,0.883873283804532
"independent","cvc",0.00594119439155589,1.4861909511189,0.885477002421485,0.87277672432444,0.885477002421485
"independent","cvc",0.00544376136287119,1.50051369190757,0.886683244117227,0.875319597259074,0.886683244117227
"independent","cvc",0.00498797646109815,1.51416425484029,0.887908460727856,0.877851111067639,0.887908460727856
